"plotn"	"TypePL"	"TCT"	"PLrr"	"MF"	"TypeMF"	"Aridity"	"RWC"	"Height"	"Shanon"	"alpha"	"Potential"	"SLO"	"Sand"	"Facil"	"HumanFootprint"	"Cow"	"Goat"	"Pig"	"prod"	"veg_type"	"ph"	"sr"	"lat"	"long"
"46"	"128"	0	22.375	0.414346346	-0.128935256	0	0.7306	0	1.741608511	1.02	2.88584236	0.408456444	14.5	3.10727623	"0"	7.25405	3.28978	0.0186	0.99123	11.96663642	1	5.9277325	2	-16.26659	-71.384941
"461"	"128"	0	22.375	0.414346346	-0.128935256	0	0.7306	0	1.741608511	1.02	2.88584236	0.408456444	14.5	3.10727623	"0"	7.25405	3.28978	0.0186	0.99123	11.96663642	1	5.9277325	2	-16.26659	-71.384941
"462"	"128"	0	22.375	0.414346346	-0.128935256	0	0.7306	0	1.741608511	1.02	2.88584236	0.408456444	14.5	3.10727623	"0"	7.25405	3.28978	0.0186	0.99123	11.96663642	1	5.9277325	2	-16.26659	-71.384941
"47"	"129"	0	13.175	0.373247244	-0.379799581	0	0.6994	70.05194687	1.610617583	3.08	2.971483085	0.411325877	3	3.055050463	NA	8.01958	4.72962	0.01627	0.78883	4.754849315	1	5.92701225	7	-16.052056	-71.415888
"471"	"129"	0	13.175	0.373247244	-0.379799581	0	0.6994	70.05194687	1.610617583	3.08	2.971483085	0.411325877	3	3.055050463	NA	8.01958	4.72962	0.01627	0.78883	4.754849315	1	5.92701225	7	-16.052056	-71.415888
"472"	"129"	0	13.175	0.373247244	-0.379799581	0	0.6994	70.05194687	1.610617583	3.08	2.971483085	0.411325877	3	3.055050463	NA	8.01958	4.72962	0.01627	0.78883	4.754849315	1	5.92701225	7	-16.052056	-71.415888
"7"	"13"	0	56.05833333	0.442793647	0.23461538	1	0.8448	92.71676301	2.340725621	8.31	2.017554733	0.33936968	1.5	2.932141667	NA	9.35102	0.02953	1.20115	0.00022	17.94522888	2	8.41267695	15	-31.5511	-67.425
"710"	"13"	0	56.05833333	0.442793647	0.23461538	1	0.8448	92.71676301	2.340725621	8.31	2.017554733	0.33936968	1.5	2.932141667	NA	9.35102	0.02953	1.20115	0.00022	17.94522888	2	8.41267695	15	-31.5511	-67.425
"711"	"13"	0	56.05833333	0.442793647	0.23461538	1	0.8448	92.71676301	2.340725621	8.31	2.017554733	0.33936968	1.5	2.932141667	NA	9.35102	0.02953	1.20115	0.00022	17.94522888	2	8.41267695	15	-31.5511	-67.425
"48"	"130"	0	22.675	0.545705792	-0.140019896	0	0.6415	0	1.738859802	1.22	2.090869039	0.53665673	6.5	3.059909792	"25"	5.17712	2.94174	0.10682	0.53901	6.582022831	1	6.244671	4	-16.381181	-71.230912
"481"	"130"	0	22.675	0.545705792	-0.140019896	0	0.6415	0	1.738859802	1.22	2.090869039	0.53665673	6.5	3.059909792	"25"	5.17712	2.94174	0.10682	0.53901	6.582022831	1	6.244671	4	-16.381181	-71.230912
"482"	"130"	0	22.675	0.545705792	-0.140019896	0	0.6415	0	1.738859802	1.22	2.090869039	0.53665673	6.5	3.059909792	"25"	5.17712	2.94174	0.10682	0.53901	6.582022831	1	6.244671	4	-16.381181	-71.230912
"49"	"132"	0	12.075	0.53135565	-0.730588667	0	0.542	0	1.726507154	1.33	2.619918022	1.952905316	5.6	3.105552359	"60"	2.72303	1.86895	0.14551	0.42044	3.927998174	1	5.138218	5	-16.355108	-70.943616
"491"	"132"	0	12.075	0.53135565	-0.730588667	0	0.542	0	1.726507154	1.33	2.619918022	1.952905316	5.6	3.105552359	"60"	2.72303	1.86895	0.14551	0.42044	3.927998174	1	5.138218	5	-16.355108	-70.943616
"492"	"132"	0	12.075	0.53135565	-0.730588667	0	0.542	0	1.726507154	1.33	2.619918022	1.952905316	5.6	3.105552359	"60"	2.72303	1.86895	0.14551	0.42044	3.927998174	1	5.138218	5	-16.355108	-70.943616
"50"	"133"	0	13.05	0.499934632	-0.293301022	0	0.583	24.92236231	1.694745554	1.33	2.421414542	0.812767657	6.5	3.093072985	"50"	1	2.04405	0.07954	0.6126	4.620754338	1	5.647372	6	-16.434337	-71.014039
"501"	"133"	0	13.05	0.499934632	-0.293301022	0	0.583	24.92236231	1.694745554	1.33	2.421414542	0.812767657	6.5	3.093072985	"50"	1	2.04405	0.07954	0.6126	4.620754338	1	5.647372	6	-16.434337	-71.014039
